Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1995,177.00,232.50,152.50,191.25,76385400,104381,15311053524.00,,,80.00,14.25,@
1996,199.50,337.00,178.00,226.50,946259200,1302298,249258316559.00,,,159.00,27.00,@
1997,230.00,358.00,202.50,243.00,1201117900,1862497,350242625974.00,,,155.50,13.00,@
1998,287.00,312.25,145.80,157.10,859379319,1481604,180862543727.00,,,166.45,-129.90,@
1998,239.00,306.00,147.00,159.00,6561703,1002,1761146104.00,,,159.00,-80.00,
1999,158.00,294.50,146.20,224.75,898274184,1879043,201433891366.00,,,148.30,66.75,@
2000,244.50,263.00,158.50,166.00,2893585,22,631529150.00,,,104.50,-78.50,
2000,232.40,293.00,155.10,192.40,348078509,1248376,75775630757.00,,,137.90,-40.00,@
2001,193.00,276.00,189.00,220.30,155217140,699125,36144723654.00,,,87.00,27.30,@
2001,268.00,268.00,139.85,182.55,22691696,244589,4406591527.00,,,128.15,-85.45,
2002,183.00,306.00,182.70,282.65,109236461,813896,27180896919.00,22383784,20.49,123.30,99.65,
2003,283.00,552.25,266.65,538.50,397097582,2744567,159642176176.00,46165000,11.63,285.60,255.50,
2004,540.90,689.20,399.95,652.45,555729929,4859471,299071752156.00,39872733,7.17,289.25,111.55,
2005,655.00,961.95,552.50,907.45,332335127,3340215,249917480780.00,27492267,8.27,409.45,252.45,
2006,909.80,1378.70,684.15,1245.90,193373722,2903709,178330213335.00,28848436,14.92,694.55,336.10,
2007,1247.00,2475.25,845.00,2371.00,139107189,3439635,210181325942.00,24041084,17.28,1630.25,1124.00,
2008,2381.00,2540.00,991.10,1288.25,177490572,6983189,256932870854.00,25890211,14.59,1548.90,-1092.75,
2009,1294.45,2500.00,894.00,2269.45,180895471,6437117,286831217013.00,33183122,18.34,1606.00,975.00,
2010,2265.00,3515.00,1863.00,2811.05,114783046,4737305,291808221336.00,24506157,21.35,1652.00,546.05,
2011,2830.05,2959.90,1576.00,1619.50,150429661,7302072,332164489046.00,25687291,17.08,1383.90,-1210.55,
2012,1625.20,2474.80,1611.50,2383.75,148402045,6929090,312144600980.00,18683187,12.59,863.30,758.55,
2013,2401.00,2550.00,1452.90,1765.50,100124283,5563745,195601940546.00,20313822,20.29,1097.10,-635.50,
2014,1774.00,2977.85,287.20,311.85,118120552,5737553,153666154509.00,34638988,29.33,2690.65,-1462.15,
2015,312.00,335.90,220.60,228.65,402688685,5570496,109745404801.00,119955339,29.79,115.30,-83.35,
2016,225.00,228.90,148.30,206.20,310919549,2684893,56730160187.00,72110474,23.19,80.60,-18.80,
@ Shares traded in Physical form
