2016,0.76293170772302898
2015,0.53299823104520605
2014,-0.017349584285501016
2013,0.14876455377092979
2012,-0.12275735656673339
2011,-0.30598515115179559
2010,-0.39502338018165761
2009,-0.13580616315853747
2008,-0.12866999783286723
2007,-0.15621014426688934
2006,-0.15863624155752193
2005,-0.043480877227771185
2004,0.067972337916346576
2003,0.23624035610290176
2002,0.38114530209424446
2001,0.46784956044903403
2000,0.51865212038753861
1999,0.55640016934557512
1998,0.5893172062090295
1997,0.60697324472192793
1996,0.61901982693769053
1995,0.62496349339593094
1994,0.6251095680689791
1993,0.63572206990548985
1992,0.61996168386326689
1991,0.62654446708116951
