2016,0.60471411685828802
2015,0.66176974300343772
2014,0.77045484434165157
2013,0.86075285112612654
2012,0.91303696724386008
2011,0.89576694152058622
2010,0.8816268806573706
2009,0.87742968083200945
2008,0.87087407302658426
2007,0.86779050370533695
2006,0.86545547205881179
2005,0.86476312479888218
2004,0.86399709039547956
2003,0.85172485909057183
2002,0.83843970105525512
2001,0.82938863243433436
2000,0.2353604522830646
1999,-0.034166497133472674
1998,-0.12995244678920012
1997,-0.17282015087121211
1996,-0.18070331090735783
1995,-0.17538284841826696
1994,-0.17705511789226433
1993,-0.16013448707600444
1992,-0.1436419311400853
1991,-0.11372303194864962
