Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29/09/2014,612,621.35,608.3,615.9,616.9214500399,163030,5721,100576704,32130,19.71,13.05,3.9
26/09/2014,610,616.9,588.15,611.5,605.6641871915,298988,11206,181086324,52481,17.55,28.75,1.5
25/09/2014,606,617,598.55,608.35,610.1045988273,261284,10192,159410570,47626,18.23,18.45,2.35
24/09/2014,588.1,603,574,600.35,587.586111438,407832,12157,239636419,97202,23.83,29,12.25
23/09/2014,620,625,579,585,598.9939716277,302901,12297,181435873,96765,31.95,46,-35
22/09/2014,626.7,626.7,607.7,613.55,613.6588509464,189234,8406,116125119,52926,27.97,19,-13.15
19/09/2014,622.25,637.25,622,627.8,630.6885741812,252227,9616,159076687,56259,22.3,15.25,5.55
18/09/2014,612.7,623,606.6,620.25,617.1636746804,193127,6359,119190969,50680,26.24,16.4,7.55
17/09/2014,623,627.8,603.85,609.75,612.3918718966,220322,8988,134923402,30306,13.76,23.95,-13.25
16/09/2014,632.7,639.05,613.6,619.65,626.5968878197,394900,12675,247443111,54616,13.83,25.45,-13.05
15/09/2014,612.8,634,610.35,629.7,627.9816959147,550806,18157,345896086,87019,15.8,23.65,16.9
12/09/2014,576.5,616,576,612.55,601.8770017093,593805,21532,357397573,81547,13.73,40,36.05
11/09/2014,578,579,566.65,575.8,572.5019230091,113364,5363,64901108,31749,28.01,12.35,-2.2
10/09/2014,578,582.05,575,577.6,578.5220050942,143694,5601,83130141,44157,30.73,7.05,-0.4
09/09/2014,566,578.8,566,575.2,572.5091216899,237456,8291,135945726,56619,23.84,12.8,9.2
08/09/2014,561.75,565.4,558.65,563.4,562.3690132342,145759,5404,81970345,51558,35.37,6.75,1.65
05/09/2014,554.7,559.3,546,557.3,554.0981656466,430833,6413,238723775,268824,62.4,13.3,2.6
04/09/2014,554,568.9,549.55,551.8,557.5670537037,329512,10722,183725035,76964,23.36,19.35,-2.2
03/09/2014,560,562.45,550,552.9,555.5186001037,295079,8928,163921873,75253,25.5,12.45,-7.1
