Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27/01/2015,600.1,605.45,596,597.85,600.7184765969,107785,6133,64748441,31945,29.64,9.45,-2.25
23/01/2015,598,603.5,590.6,601.5,598.8955070887,190233,8062,113929689,62181,32.69,12.9,3.5
22/01/2015,588.55,597.25,585,594.45,591.74409556,150607,6065,89120803,41935,27.84,12.25,5.9
21/01/2015,591,594.8,577,587.55,585.4562373038,512457,10227,300021147,369685,72.14,17.8,-3.45
20/01/2015,587,594,583,590.45,588.1775399225,121736,5587,71602381,41854,34.38,11,3.45
19/01/2015,588,598.45,582.2,584.45,589.7733027845,484470,17464,285727472,148167,30.58,16.25,-3.55
16/01/2015,560,563.2,552,555.25,557.9961845053,126327,5221,70489984,36237,28.69,11.2,-4.75
15/01/2015,560,563.75,552.7,559.65,560.1477064745,69936,4002,39174490,22276,31.85,11.05,-0.35
14/01/2015,564,569.2,550,552.4,558.412812918,125592,5137,70132182,67324,53.61,19.2,-11.6
13/01/2015,557,566.75,555.1,562.85,560.8646806237,101072,5950,56687715,32962,32.61,11.65,5.85
12/01/2015,552.45,557.8,548.1,556.3,552.3702472141,50523,3211,27907402,17854,35.34,9.7,3.85
09/01/2015,547.5,559.5,543.65,553.45,552.3847813517,186784,9874,103176639,72844,39,15.85,5.95
08/01/2015,558.5,560,543,545.05,547.1538168075,83879,3807,45894715,23773,28.34,17,-13.45
07/01/2015,545,545.5,539.15,542,542.0957341337,147262,4702,79830102,62176,42.22,6.35,-3
06/01/2015,562.4,562.4,542.5,545.45,546.6976919809,127122,6271,69497304,67134,52.81,19.9,-16.95
05/01/2015,558.5,564.85,553.6,557.5,559.5159965326,74985,3090,41955307,15465,20.62,11.25,-1
02/01/2015,552.1,560.1,552.1,557.25,557.3350708345,61199,2661,34108349,15857,25.91,8,5.15
01/01/2015,553,554.75,550.95,552.3,552.888136981,41524,1421,22958127,13764,33.15,3.8,-0.7
31/12/2014,551.5,555,550.55,553.8,553.0617071476,159787,2310,88372071,120826,75.62,4.45,2.3
30/12/2014,550,554.75,548.5,551,551.8708750929,49789,1959,27477099,11794,23.69,6.25,1
29/12/2014,548,551.8,547,550.4,549.9725912736,65709,2020,36138149,40106,61.04,4.8,2.4
26/12/2014,547,548.4,541.35,547.7,545.1004178932,48577,1946,26479343,11552,23.78,7.05,0.7
24/12/2014,555,555,542.5,548,548.6610250774,150135,3528,82373223,92649,61.71,12.5,-7
