2016,0.86955902433515431
2015,0.55335027971424
2014,0.34315562124747367
2013,0.44142355624691554
2012,0.72462193317777412
2011,0.74213741928376986
2010,0.69307003254247967
2009,0.74039441457229294
2008,0.7728257850591469
2007,0.78328700271017815
2006,0.80532002565909089
2005,-0.29940020846607146
2004,-0.49313801415123798
2003,-0.54047177291687554
2002,-0.55759218404191202
2001,-0.58636283407881495
2000,-0.60827355874793421
1999,-0.6357435342026454
1998,-0.63862839990639064
1997,-0.61763209858853263
1996,-0.56423082795925672
1995,-0.52038136973255189
1994,-0.52417607140844669
1993,-0.51500348463438683
1992,-0.50846538491422277
1991,-0.46364938903162844
