Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23/10/2014,1560.7,1565.9,1556.8,1559.5,1561.1431731503,52440,6667,81866348,27101,51.68,9.1,-1.2
22/10/2014,1530.2,1556.5,1525,1550.65,1541.6798083706,170120,14214,262270569,54122,31.81,31.5,20.45
21/10/2014,1496.55,1518,1493.2,1511.55,1505.339770036,145675,10498,219290371,59025,40.52,24.8,15
20/10/2014,1477.3,1503.3,1475,1494.5,1490.4940753517,178576,12734,266166470,55145,30.88,28.3,17.2
17/10/2014,1430.65,1462.4,1428,1452.45,1446.9144612741,160629,12114,232416423,60644,37.75,34.4,21.8
16/10/2014,1430,1440.8,1418,1422.4,1429.2056511472,159649,12792,228171253,44005,27.56,22.8,-7.6
14/10/2014,1452.5,1460.6,1437.85,1440.55,1446.2244460626,144195,11823,208538334,31445,21.81,22.75,-11.95
13/10/2014,1455,1455,1434.85,1445.65,1443.8158237258,183623,12639,265117793,78913,42.98,20.15,-9.35
10/10/2014,1470,1476,1444,1459.95,1460.6376522107,182231,15016,266173460,42886,23.53,32,-10.05
09/10/2014,1462,1491.3,1458,1484.75,1477.5824652692,201406,14771,297593974,70007,34.76,33.3,22.75
08/10/2014,1405,1451,1400,1447.45,1441.9074679607,200925,16099,289715258,54191,26.97,51,42.45
07/10/2014,1439.8,1458.75,1405.45,1414.65,1427.8370409102,277315,23905,395960629,102465,36.95,53.3,-25.15
01/10/2014,1460,1468.65,1441.5,1445.55,1452.9826372954,183036,13193,265948130,69474,37.96,27.15,-14.45
30/09/2014,1466.8,1498.4,1450,1457.45,1475.7481270366,227714,17275,336048509,51469,22.6,48.4,-9.35
29/09/2014,1476.5,1486.35,1447.9,1467.45,1473.1556038068,157509,12043,232035266,37733,23.96,38.45,-9.05
26/09/2014,1439.8,1479.7,1435.35,1476.15,1461.2716220089,258186,17821,377279875,68819,26.65,44.35,36.35
25/09/2014,1473.8,1478,1436,1448.9,1463.6579438764,229743,18175,336265167,67248,29.27,42,-24.9
24/09/2014,1499.95,1506.9,1440,1465.45,1469.721879798,359528,32251,528406168,135137,37.59,66.9,-34.5
