Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
07/04/2015,340.95,342.75,336.85,340.95,339.4826575476,335708,8313,113967044,115237,34.33,5.9,0
06/04/2015,333,341.65,329.5,340.95,337.3380195277,493862,9657,166598429,201317,40.76,12.15,7.95
01/04/2015,326.9,332.75,324.35,332.3,329.4471319199,357626,8299,117818860,104765,29.29,8.4,5.4
31/03/2015,327.9,328.35,323.9,325.45,325.3242409267,1782733,8937,579966260,1521907,85.37,4.45,-2.45
30/03/2015,318.3,329.25,318.3,327.9,327.1092186843,1417404,11583,463645915,945651,66.72,10.95,9.6
27/03/2015,324,325,315.25,317.1,318.1234935011,704199,13936,224022246,224513,31.88,9.75,-6.9
26/03/2015,325.1,328.95,320.8,322.65,325.4982032744,605546,10015,197104135,313775,51.82,8.15,-2.45
25/03/2015,329,329,325,326.4,327.3938324768,8191846,5927,2681959857,8036090,98.1,4,-2.6
24/03/2015,328,329.85,326,326.4,327.5304316066,432593,8933,141687372,198200,45.82,3.85,-1.6
23/03/2015,328,329.55,325,327,326.9453580111,536785,10219,175499364,251061,46.77,4.55,-1
20/03/2015,333.95,334.3,326.5,327.6,329.3529504384,584303,13939,192441917,245343,41.99,7.8,-6.35
19/03/2015,339,340.9,331.05,333.05,336.6023109125,460078,9182,154863318,199679,43.4,9.85,-5.95
18/03/2015,340.2,341,336,336.6,338.1026555951,391513,7696,132371585,139936,35.74,5,-3.6
17/03/2015,339,340.7,336.5,339.95,338.7553633241,442869,9069,150024249,179606,40.56,4.2,0.95
16/03/2015,340.8,341.25,335,335.5,336.9564952008,596348,12974,200943332,260543,43.69,6.25,-5.3
13/03/2015,347,349.9,336.8,339.1,341.4575946103,765905,15588,261524079,217632,28.42,13.1,-7.9
12/03/2015,338.7,347.8,338.7,346.25,345.3246849684,891498,18386,307856266,318825,35.76,9.1,7.55
11/03/2015,339.55,340.55,337.8,338.3,339.1710157335,432200,9142,146589713,169787,39.28,2.75,-1.25
10/03/2015,340.1,342.6,335.4,338.65,338.8557824994,722499,19625,244822964,216007,29.9,7.2,-1.45
09/03/2015,344.7,344.7,337.1,338.3,340.7650238328,1130587,15176,385264506,660314,58.4,7.6,-6.4
05/03/2015,347.4,349.05,341.9,345.95,345.1912681689,2411682,18428,832491568,1675023,69.45,7.15,-1.45
04/03/2015,344.25,350.9,342.85,344.4,347.0341147175,2025167,35405,702802037,687800,33.96,8.05,0.15
03/03/2015,344.5,345.5,339,341.35,341.1649976368,1874542,33069,639528117,894734,47.73,6.5,-3.15
02/03/2015,358.5,358.5,342.35,343.3,348.069297038,2134781,44016,743051722,997317,46.72,16.15,-15.2
28/02/2015,393,409.7,350,361.25,372.6793830102,5280606,100029,1967972986,1371263,25.97,59.7,-31.75
27/02/2015,395,396.45,384.05,393.8,386.9522930318,4034484,11842,1561152835,3589777,88.98,12.4,-1.2
26/02/2015,398.7,401.3,392.6,395.65,396.3083301475,379285,13308,150313805,165680,43.68,8.7,-3.05
25/02/2015,396,400,393.45,399.55,397.4737351318,316278,9823,125712198,161553,51.08,6.55,3.55
24/02/2015,392,398,389.1,395.85,395.5115224086,482538,12806,190849339,219224,45.43,8.9,3.85
23/02/2015,395.9,398.7,389.3,390.15,394.7135891813,273600,8598,107993638,96801,35.38,9.4,-5.75
20/02/2015,385.8,397.65,384.45,395.9,393.3880876734,497300,13429,195631896,197804,39.78,13.2,10.1
19/02/2015,393,393.15,383.4,389.1,387.1484022865,347434,11031,134508518,113973,32.8,9.75,-3.9
18/02/2015,385.5,401.9,385.5,392.5,395.4694538237,855017,17904,338133106,334098,39.08,16.4,7
16/02/2015,377,390.95,377,389.55,385.8921549309,674959,13425,260461383,386047,57.2,13.95,12.55
13/02/2015,371.1,379.2,370.1,378.05,374.8987585401,496190,8844,186021015,259455,52.29,9.1,6.95
12/02/2015,371,372,364.75,370.6,368.3047225583,219055,6773,80678991,85704,39.12,7.25,-0.4
11/02/2015,370,372.5,368.05,371.35,369.1681861944,154763,4039,57133576,50820,32.84,4.45,1.35
10/02/2015,368.05,371.8,367,369.9,369.1928477325,394700,8246,145720417,165273,41.87,4.8,1.85
09/02/2015,372.5,373.6,366.6,367.85,368.8780586424,225059,5852,83019327,71616,31.82,7,-4.65
06/02/2015,367,374.9,367,373.5,372.5502285926,299441,9784,111556813,142951,47.74,7.9,6.5
05/02/2015,368,372.1,363.7,368.65,368.8578377141,362459,8198,133695843,117388,32.39,8.4,0.65
04/02/2015,367.9,370.25,365.25,366.55,367.8200338015,186974,5169,68772783,61983,33.15,5,-1.35
03/02/2015,360,366.95,360,366.15,364.1772073962,812088,6317,295743940,616144,75.87,6.95,6.15
02/02/2015,367.05,368.9,359.45,360.6,363.1670191533,285590,7758,103716869,141303,49.48,9.45,-6.45
